"CountyName","AverageIncome","CountyId","StateId"
"Baldwin County, Alabama","27772","3","1"
"Calhoun County, Alabama","22154","15","1"
"Cullman County, Alabama","23615","43","1"
"DeKalb County, Alabama","22130","49","1"
"Elmore County, Alabama","27093","51","1"
"Etowah County, Alabama","25055","55","1"
"Houston County, Alabama","24821","69","1"
"Jefferson County, Alabama","29904","73","1"
"Lauderdale County, Alabama","26988","77","1"
"Lee County, Alabama","25572","81","1"
"Limestone County, Alabama","27374","83","1"
"Madison County, Alabama","31970","89","1"
"Marshall County, Alabama","24012","95","1"
"Mobile County, Alabama","25256","97","1"
"Montgomery County, Alabama","25172","101","1"
"Morgan County, Alabama","27866","103","1"
"St. Clair County, Alabama","27129","115","1"
"Shelby County, Alabama","36244","117","1"
"Talladega County, Alabama","21226","121","1"
"Tuscaloosa County, Alabama","25536","125","1"
"Walker County, Alabama","23874","127","1"
"Anchorage Municipality, Alaska","36966","20","2"
"Fairbanks North Star Borough, Alaska","35294","90","2"
"Matanuska-Susitna Borough, Alaska","29297","170","2"
"Apache County, Arizona","20695","1","4"
"Cochise County, Arizona","24579","3","4"
"Coconino County, Arizona","25442","5","4"
"Maricopa County, Arizona","32123","13","4"
"Mohave County, Arizona","23492","15","4"
"Navajo County, Arizona","20573","17","4"
"Pima County, Arizona","27521","19","4"
"Pinal County, Arizona","28279","21","4"
"Yavapai County, Arizona","25711","25","4"
"Yuma County, Arizona","23737","27","4"
"Benton County, Arkansas","33484","7","5"
"Craighead County, Arkansas","24452","31","5"
"Faulkner County, Arkansas","27307","45","5"
"Garland County, Arkansas","24804","51","5"
"Jefferson County, Arkansas","23445","69","5"
"Lonoke County, Arkansas","30381","85","5"
"Pulaski County, Arkansas","30108","119","5"
"Saline County, Arkansas","31339","125","5"
"Sebastian County, Arkansas","25444","131","5"
"Washington County, Arkansas","28115","143","5"
"White County, Arkansas","22719","145","5"
"Alameda County, California","46125","1","6"
"Butte County, California","24872","7","6"
"Contra Costa County, California","41808","13","6"
"El Dorado County, California","37249","17","6"
"Fresno County, California","25211","19","6"
"Humboldt County, California","23963","23","6"
"Imperial County, California","18731","25","6"
"Kern County, California","24850","29","6"
"Kings County, California","27069","31","6"
"Lake County, California","27650","33","6"
"Los Angeles County, California","30041","37","6"
"Madera County, California","23434","39","6"
"Marin County, California","57224","41","6"
"Mendocino County, California","26575","45","6"
"Merced County, California","25596","47","6"
"Monterey County, California","28746","53","6"
"Napa County, California","36289","55","6"
"Nevada County, California","33906","57","6"
"Orange County, California","36405","59","6"
"Placer County, California","40332","61","6"
"Riverside County, California","28403","65","6"
"Sacramento County, California","32357","67","6"
"San Bernardino County, California","27758","71","6"
"San Diego County, California","34238","73","6"
"San Francisco County, California","53266","75","6"
"San Joaquin County, California","29768","77","6"
"San Luis Obispo County, California","32089","79","6"
"San Mateo County, California","50608","81","6"
"Santa Barbara County, California","29344","83","6"
"Santa Clara County, California","49398","85","6"
"Santa Cruz County, California","32252","87","6"
"Shasta County, California","26609","89","6"
"Solano County, California","38942","95","6"
"Sonoma County, California","35380","97","6"
"Stanislaus County, California","27991","99","6"
"Sutter County, California","27172","101","6"
"Tulare County, California","22649","107","6"
"Ventura County, California","33782","111","6"
"Yolo County, California","28467","113","6"
"Yuba County, California","25819","115","6"
"Adams County, Colorado","34414","1","8"
"Arapahoe County, Colorado","37278","5","8"
"Boulder County, Colorado","37172","13","8"
"Broomfield County, Colorado","47340","14","8"
